University,Course,Domain,Annual_Fee_INR,City,State_Province,Country,Region,Gender_Type,Website
Indian Institute of Technology Madras,B.Tech Computer Science,Engineering & Technology,200000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.iitm.ac.in
Indian Institute of Technology Madras,M.Tech AI & Data Science,Engineering & Technology,220000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.iitm.ac.in
Indian Institute of Technology Madras,MBA,Management,350000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.iitm.ac.in
Indian Institute of Science (IISc),B.S. Research,Science & Research,90000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.iisc.ac.in
Indian Institute of Science (IISc),M.Tech,Engineering & Technology,75000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.iisc.ac.in
Indian Institute of Science (IISc),Ph.D,Research,30000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.iisc.ac.in
National Institute of Technology Tiruchirappalli,B.Tech Civil,Engineering & Technology,150000,Tiruchirappalli,Tamil Nadu,India,South India,Co-Ed,https://www.nitt.edu
National Institute of Technology Tiruchirappalli,B.Tech Electrical,Engineering & Technology,150000,Tiruchirappalli,Tamil Nadu,India,South India,Co-Ed,https://www.nitt.edu
National Institute of Technology Tiruchirappalli,MBA,Management,200000,Tiruchirappalli,Tamil Nadu,India,South India,Co-Ed,https://www.nitt.edu
Anna University,B.E. Mechanical,Engineering & Technology,80000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.annauniv.edu
Anna University,B.Tech IT,Engineering & Technology,80000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.annauniv.edu
Anna University,M.E. VLSI Design,Engineering & Technology,90000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.annauniv.edu
Vellore Institute of Technology (VIT),B.Tech CSE,Engineering & Technology,198000,Vellore,Tamil Nadu,India,South India,Co-Ed,https://www.vit.ac.in
Vellore Institute of Technology (VIT),B.Tech ECE,Engineering & Technology,198000,Vellore,Tamil Nadu,India,South India,Co-Ed,https://www.vit.ac.in
Vellore Institute of Technology (VIT),MBA,Management,250000,Vellore,Tamil Nadu,India,South India,Co-Ed,https://www.vit.ac.in
Vellore Institute of Technology (VIT),M.Tech Data Science,Engineering & Technology,160000,Vellore,Tamil Nadu,India,South India,Co-Ed,https://www.vit.ac.in
SRM Institute of Science and Technology,B.Tech CSE,Engineering & Technology,210000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.srmist.edu.in
SRM Institute of Science and Technology,B.Tech Biotech,Life Sciences,180000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.srmist.edu.in
SRM Institute of Science and Technology,MBA,Management,280000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.srmist.edu.in
Amrita Vishwa Vidyapeetham,B.Tech CSE,Engineering & Technology,185000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.amrita.edu
Amrita Vishwa Vidyapeetham,M.Sc Cyber Security,Engineering & Technology,150000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.amrita.edu
